paperId,title,abstract
b1452907e85f6e4d315ca8c61a1393403a533b2f,leading the way a new model for data science education,"Addressing the data skills gap, namely the superabundance of data and the lack of human capital to exploit it, this paper argues that iSchools and Library and Information Science programs are ideal venues for data science education. It unpacks two case studies: the LIS Education and Data Science for the National Digital Platform (LEADS‐4‐NDP) project (2017–2019), and the LIS Education and Data Science‐Integrated Network Group (LEADING) project (2020–2023). These IMLS‐funded initiatives respond to four national digital platform challenges: LIS faculty prepared to teach data science and mentor the next generation of educators and practitioners, an underdeveloped pedagogical infrastructure, scattered and inconsistent data science education opportunities for students and current information professionals, and an immature data science network. LEADS and LEADING have made appreciable collaborative, interdisciplinary contributions to the data science education community; these projects comprise an essential part of the long‐awaited and much‐needed national digital platform."
4b4fdc82593e3c59a8f18fb7ab4e06ece0af3cf6,reshape a method to teach data ethics for data science education,"Data has become central to the technologies and services that human-computer interaction (HCI) designers make, and the ethical use of data in and through these technologies should be given critical attention throughout the design process. However, there is little research on ethics education in computer science that explicitly addresses data ethics. We present and analyze Re-Shape, a method to teach students about the ethical implications of data collection and use. Re-Shape, as part of an educational environment, builds upon the idea of cultivating care and allows students to collect, process, and visualize their physical movement data in ways that support critical reflection and coordinated classroom activities about data, data privacy, and human-centered systems for data science. We also use a case study of Re-Shape in an undergraduate computer science course to explore prospects and limitations of instructional designs and educational technology such as Re-Shape that leverage personal data to teach data ethics."
41cf91ee13a1d15983ede066ddf6b67cc94a41f4,the role of academia in data science education,"As the demand for data scientists continues to grow, universities are trying to figure out how to best contribute to the training of a workforce. However, there does not appear to be a consensus on the fundamental principles, expertise, skills, or knowledge-base needed to define an academic discipline. We argue that data science is not a discipline but rather an umbrella term used to describe a complex process involving not one data scientist possessing all the necessary expertise, but a team of data scientists with nonoverlapping complementary skills. We provide some recommendations for how to take this into account when designing data science academic programs.Keywords: applied statistics, data science, data science curriculum, data wrangling, machine learning, software engineering"
5d090dbeae225383d56ee7ac17b611adeb21c3e3,data science education curriculum and pedagogy,"Data science is a new field of research focuses on extracting knowledge and value from data. The radical growth in recent years in the availability of data and of the computational resources required to process them, has led to a corresponding increase in demand for data scientists. As a result, new data science education programs are opening at a growing rate. Over the past few years, several papers on data science programs were published, focusing on their curricular aspects. The pedagogy of those programs, however, has received only little attention. To partially close this gap, my doctoral research focuses on the pedagogical aspects of data science. The pilot phase of the research was carried out in graduate, undergraduate, and high school data science programs. The results of the pilot research are organized by a framework of ten challenges of data science education whose purpose is to improve our understanding of the pedagogical challenges of data science education for various populations and to develop pedagogical methods for coping with them. The current stage of research aims to validate this framework."
92a7cd8186400b382463dea25b2c0797cac8fbd5,introducing gaise ii a guideline for precollege statistics and data science education,"Column Editor’s note: In this column Anna Bargagliotti and Christine Franklin, two of the authors of the new preK-12 Guidelines for Assessment and Instruction in Statistics Education II (GAISE II), provide an introduction to the new report. The new report highlights the importance of data science education already at the pre-college levels. Future articles in the Minding the Future column will showcase examples of data science activities that are suitable for school children at different stages of their education, from the earliest primary levels and up through secondary. In a companion column, a current high school student shares her perspective on the importance of data science courses at the pre-college level. The Pre-K-12 Report discussed in this column is accessible HERE."
80c291b8d0585e13b1367d790840560df4d653d5,ad hoc efforts for advancing data science education,"With increasing demand for training in data science, extracurricular or “ad hoc” education efforts have emerged to help individuals acquire relevant skills and expertise. Although extracurricular efforts already exist for many computationally intensive disciplines, their support of data science education has significantly helped in coping with the speed of innovation in data science practice and formal curricula. While the proliferation of ad hoc efforts is an indication of their popularity, less has been documented about the needs that they are designed to meet, the limitations that they face, and practical suggestions for holding successful efforts. To holistically understand the role of different ad hoc formats for data science, we surveyed organizers of ad hoc data science education efforts to understand how organizers perceived the events to have gone—including areas of strength and areas requiring growth. We also gathered recommendations from these past events for future organizers. Our results suggest that the perceived benefits of ad hoc efforts go beyond developing technical skills and may provide continued benefit in conjunction with formal curricula, which warrants further investigation. As increasing numbers of researchers from computational fields with a history of complex data become involved with ad hoc efforts to share their skills, the lessons learned that we extract from the surveys will provide concrete suggestions for the practitioner-leaders interested in creating, improving, and sustaining future efforts."
b22d078fd2d9115f7f159dc796636fb6a706f141,ethics in data science education,"There is a growing recognition of the importance of ethics education in data science programs. Recent news stories about data breaches and algorithmic biases indicate that big data projects raise ethical concerns with the potential to inflict harm on a wide societal or global scale. In this paper, we address three main research questions: (1) what curricular recommendations have been proposed for the teaching of ethics in undergraduate data science courses, (2) what codes of ethics are relevant to data science, and (3) how can we characterize the proposed codes to help an educator choose which to include in a data science course? We conclude with an overview of an approach to teaching ethics in undergraduate data science courses."
b85ac20631159ca3e370afa9c1f81a4618242b4f,the democratization of data science education,"Abstract Over the last three decades, data have become ubiquitous and cheap. This transition has accelerated over the last five years and training in statistics, machine learning, and data analysis has struggled to keep up. In April 2014, we launched a program of nine courses, the Johns Hopkins Data Science Specialization, which has now had more than 4 million enrollments over the past five years. Here, the program is described and compared to standard data science curricula as they were organized in 2014 and 2015. We show that novel pedagogical and administrative decisions introduced in our program are now standard in online data science programs. The impact of the Data Science Specialization on data science education in the U.S. is also discussed. Finally, we conclude with some thoughts about the future of data science education in a data democratized world."
daec8baf1740a09725b375729d95caebc42f61c8,acm task force on data science education draft report and opportunity for feedback,"The ACM Data Science Task Force was established by the ACM Education Council and tasked with articulating the role of computing discipline-specific contributions to this emerging field. This special session seeks to introduce the work of the ACM Data Science Task Force as well as to engage the SIGCSE community in this effort. Members of the task force will introduce key components of a draft report, including a summary of data science curricular efforts to date, results of ACM academic and industry surveys on data science, as well as the initial articulation of computing competencies for undergraduate programs in data science. This session should be of interest to all SIGCSE attendees, but especially faculty developing college-level curricula in Data Science."
7d182b35736231f88b8d44c1225e696cabc21a63,toward holistic data science education,"Holistic data science education places data science in the context of real world applications, emphasizing the purpose for which data were collected, the pedigree of the data, the meaning inherent in the daa, the deploying of sustainable solutions, and the communication of key findings for addressing the original problem. As such it spends less emphasis on coding, computing, and high-end black-box algorithms. We argue that data science education must move toward a holistic curriculum, and we provide examples and reasons for this emphasis.
 "
